ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
595;Derrick White;FALSE;San;G;24.78;67;25.8;123;0.772;401;52.90%;142;33.80%;52.30%;55.50%;76;193.04
596;Okaro White;FALSE;Was;F;26.66;3;2.1;0;0;0;0.00%;2;0.00%;0.00%;0.00%;80;203.2
597;Hassan Whiteside;FALSE;Mia;C;29.83;72;23.3;243;0.449;665;58.00%;16;12.50%;57.10%;56.30%;84;213.36
598;Andrew Wiggins;FALSE;Min;G-F;24.13;73;34.8;296;0.699;862;44.10%;348;33.90%;46.00%;49.30%;80;203.2
599;Robert Williams III;FALSE;Bos;C-F;21.48;31;9.1;15;0.6;51;70.60%;0;0.00%;70.60%;70.30%;82;208.28
600;Alan Williams;FALSE;Bro;F-C;26.2;5;5.1;4;0.5;12;66.70%;1;0.00%;61.50%;61.00%;80;203.2
601;C.J. Williams;FALSE;Min;G;29.18;15;8.5;1;0;19;63.20%;16;31.30%;55.70%;55.00%;77;195.58
602;Johnathan Williams;FALSE;Lal;F;23.89;24;15.5;48;0.563;108;60.20%;2;0.00%;59.10%;59.90%;81;205.74
603;Kenrich Williams;FALSE;Nor;G-F;24.36;46;23.5;19;0.684;123;44.70%;156;33.30%;47.70%;48.50%;79;200.66
604;Lou Williams;FALSE;Lac;G;32.46;75;26.6;484;0.876;847;44.70%;292;36.00%;47.10%;55.40%;73;185.42
605;Marvin Williams;FALSE;Cha;F;32.81;75;28.4;86;0.767;270;50.00%;382;36.60%;52.90%;54.80%;81;205.74
606;Troy Williams;FALSE;Sac;F;24.28;21;14.9;15;0.6;54;55.60%;44;31.80%;52.00%;53.10%;79;200.66
607;D.J. Wilson;FALSE;Mil;F;23.14;48;18.4;47;0.553;124;46.80%;127;36.20%;50.60%;51.50%;82;208.28
608;Justise Winslow;FALSE;Mia;F;23.04;66;29.7;137;0.628;493;46.20%;256;37.50%;49.70%;51.30%;79;200.66
609;Christian Wood;TRUE;Mil;F;23.54;13;4.7;15;0.667;20;45.00%;5;60.00%;54.00%;58.50%;82;208.28
610;Christian Wood;TRUE;Nor;F;23.54;8;23.6;41;0.756;71;60.60%;21;28.60%;56.50%;61.30%;82;208.28
611;Delon Wright;FALSE;Tor;G;26.96;49;18.3;61;0.869;203;47.80%;90;33.30%;48.50%;52.70%;77;195.58
612;Delon Wright;FALSE;Mem;G;26.96;26;30.8;89;0.742;187;50.80%;78;25.60%;47.20%;51.90%;77;195.58
613;Guerschon Yabusele;FALSE;Bos;F;23.32;41;6.1;22;0.682;49;53.10%;28;32.10%;51.30%;54.20%;80;203.2
614;Nick Young;FALSE;Den;G-F;33.86;4;9.3;0;0;1;0.00%;8;37.50%;50.00%;50.00%;79;200.66
615;Thaddeus Young;FALSE;Ind;F;30.8;81;30.7;135;0.644;696;56.30%;146;34.90%;55.60%;56.80%;80;203.2
616;Trae Young;FALSE;Atl;G;20.56;81;30.9;414;0.829;775;47.60%;482;32.40%;48.00%;53.80%;74;187.96
617;Cody Zeller;FALSE;Cha;F-C;26.51;49;25.4;141;0.787;323;57.00%;22;27.30%;55.90%;61.10%;83;210.82
618;Tyler Zeller;TRUE;Atl;C;29.23;2;5.4;0;0;1;0.00%;1;0.00%;0.00%;0.00%;84;213.36
619;Tyler Zeller;TRUE;Mem;C;29.23;4;20.6;18;0.778;28;57.10%;0;0.00%;57.10%;64.00%;84;213.36
620;Ante Zizic;FALSE;Cle;C;22.27;59;18.3;132;0.705;330;55.50%;0;0.00%;55.50%;59.10%;83;210.82
621;Ivica Zubac;TRUE;Lal;C;22.07;33;15.6;66;0.864;193;58.00%;0;0.00%;58.00%;63.30%;85;215.9
622;Ivica Zubac;TRUE;Lac;C;22.07;26;20.1;60;0.733;186;53.80%;0;0.00%;53.80%;57.40%;85;215.9
